"Symbol","Name"
"XOM","Exxon Mobil Corporation"
"GE","General Electric Company"
"WFC","Wells Fargo & Company"
"JNJ","Johnson & Johnson"
"CHL","China Mobile (Hong Kong) Ltd."
"JPM","J P Morgan Chase & Co"
"NVS","Novartis AG"
"WMT","Wal-Mart Stores, Inc."
"T","AT&T Inc."
"PFE","Pfizer, Inc."
"PG","Procter & Gamble Company (The)"
"TM","Toyota Motor Corp Ltd Ord"
"VZ","Verizon Communications Inc."
"KO","Coca-Cola Company (The)"
"BUD","Anheuser-Busch Inbev SA"
"DIS","Walt Disney Company (The)"
"NTT","Nippon Telegraph and Telephone Corporation"
"BAC","Bank of America Corporation"
"CVX","Chevron Corporation"
"ORCL","Oracle Corporation"
"BABA","Alibaba Group Holding Limited"
"V","Visa Inc."
"HSBC","HSBC Holdings plc"
"C","Citigroup Inc."
"HD","Home Depot, Inc. (The)"
"NVO","Novo Nordisk A/S"
"IBM","International Business Machines Corporation"
"PEP","Pepsico, Inc."
"MRK","Merck & Company, Inc."
"PTR","PetroChina Company Limited"
"RAI","Reynolds American Inc"
"SNY","Sanofi"
"UN","Unilever NV"
"PM","Philip Morris International Inc"
"UL","Unilever PLC"
"BP","BP p.l.c."
"TOT","TotalFinaElf, S.A."
"CVS","CVS Health Corporation"
"UNH","UnitedHealth Group Incorporated"
"TSM","Taiwan Semiconductor Manufacturing Company Ltd."
"MO","Altria Group"
"AGN","Allergan plc."
"LFC","China Life Insurance Company Limited"
"MA","Mastercard Incorporated"
"BMY","Bristol-Myers Squibb Company"
"MDT","Medtronic plc"
"MCD","McDonald&#39;s Corporation"
"SLB","Schlumberger N.V."
"LLY","Eli Lilly and Company"
"BA","Boeing Company (The)"
